Publish  Type      Met  Prefix                    Idx  Gateway/Interface Name
-------  --------  ---  ------------------------  ---  ------------------------
No       Manual    0    0.0.0.0/0                   6  192.168.1.1

No       System    256  192.168.1.0/24              6  Ethernet
No       System    256  192.168.1.243/32            6  Ethernet
No       System    256  192.168.1.255/32            6  Ethernet
No       System    256  224.0.0.0/4                 6  Ethernet
No       System    256  255.255.255.255/32          6  Ethernet
No       System    256  224.0.0.0/4                13  Local Area Connection
No       System    256  255.255.255.255/32         13  Local Area Connection

No       System    256  127.0.0.0/8                 1  Loopback Pseudo-Interface 1
No       System    256  127.0.0.1/32                1  Loopback Pseudo-Interface 1
No       System    256  127.255.255.255/32          1  Loopback Pseudo-Interface 1
No       System    256  224.0.0.0/4                 1  Loopback Pseudo-Interface 1
No       System    256  255.255.255.255/32          1  Loopback Pseudo-Interface 1

No       System    256  192.168.56.0/24             7  VirtualBox Host-Only Network
No       System    256  192.168.56.1/32             7  VirtualBox Host-Only Network
No       System    256  192.168.56.255/32           7  VirtualBox Host-Only Network
No       System    256  224.0.0.0/4                 7  VirtualBox Host-Only Network
No       System    256  255.255.255.255/32          7  VirtualBox Host-Only Network
